transaction_id,timestamp,card_number,merchant,location,transaction_amount,device_type,is_international,failed_attempts,fraud_label
TXN1047,2026-03-21T08:34:41.162800,4242424242424242,Roberts-Walker,South Marcusbury,674.47,POS,1,5,1
TXN1048,2026-05-04T10:15:41.163061,4111111111111111,Davidson Ltd,Port Lisahaven,4606.72,Desktop,0,0,0
TXN1049,2026-04-10T18:27:41.163237,4111111111111111,Yang-Copeland,Levymouth,950.24,Desktop,1,3,0
TXN1050,2026-03-19T02:17:41.163529,4111111111111111,"Bennett, Aguirre and Quinn",New Nicolechester,1127.14,Mobile,1,0,0
TXN1051,2026-03-20T03:51:41.163857,4242424242424242,"Gonzalez, Wiggins and Edwards",South Deborahmouth,4786.94,Desktop,1,0,0
TXN1052,2026-04-28T01:34:41.164180,4111111111111111,"Fuller, Ferrell and Edwards",Port Henry,3119.11,Mobile,0,4,0
TXN1053,2026-04-03T23:46:41.164540,4012888888881881,"Ayala, George and Rose",Brianmouth,3469.64,ATM,0,0,0
TXN1054,2026-04-07T14:33:41.164865,4111111111111111,"Lee, Rivers and Zimmerman",Campbellside,235.85,POS,1,0,0
TXN1055,2026-05-11T12:35:41.165207,4111111111111111,Underwood-Garcia,Lake Janettown,4992.15,ATM,1,4,1
TXN1056,2026-04-13T03:03:41.165448,4012888888881881,Fernandez-Gill,Walshville,1161.21,Mobile,1,1,0
TXN1057,2026-03-09T11:53:41.165753,4111111111111111,"Cole, Bowman and Smith",Nguyenstad,3351.7,ATM,1,3,0
TXN1058,2026-03-17T04:12:41.166097,4012888888881881,Martinez-Bradford,Lake Arthur,4725.4,ATM,0,2,0
TXN1059,2026-05-13T12:08:41.166338,5555555555554444,Curtis PLC,South Barbaraborough,1705.24,ATM,0,1,0
TXN1060,2026-03-21T10:33:41.166524,4242424242424242,Williams-Thompson,South Jay,4165.24,POS,1,3,0
TXN1061,2026-03-26T22:38:41.166792,4111111111111111,"Davenport, Ewing and Martin",Jenniferburgh,3173.66,Desktop,1,5,1
TXN1062,2026-03-11T09:18:41.167254,378282246310005,Lewis-Santos,East Blakestad,1215.33,POS,0,0,0
TXN1063,2026-05-10T07:32:41.167522,4111111111111111,Hooper-Rose,Michaelland,1247.91,ATM,1,0,0
TXN1064,2026-04-28T08:36:41.167809,4242424242424242,Adams and Sons,Port Morgan,1257.25,ATM,0,1,0
TXN1065,2026-03-27T08:18:41.167979,4242424242424242,"Alvarez, Stevenson and Reynolds",South Lori,307.32,Desktop,1,5,1
TXN1066,2026-03-27T10:34:41.168387,4111111111111111,Woods Group,Tinahaven,2581.89,Desktop,1,5,0
TXN1067,2026-05-02T18:18:41.168561,378282246310005,"Bartlett, Herman and Rodriguez",West Patrick,453.42,Desktop,1,0,0
TXN1068,2026-03-24T06:30:41.168906,4012888888881881,Bartlett-Miller,West Cherylland,3253.23,Desktop,0,4,0
TXN1069,2026-04-23T04:45:41.169153,5555555555554444,King-Garza,Garciafort,3401.76,POS,0,0,1
TXN1070,2026-04-17T11:55:41.169416,4111111111111111,Rojas Group,Normanstad,4802.7,POS,1,1,0
TXN1071,2026-04-20T00:27:41.169616,4012888888881881,Nelson-Carter,Brownstad,1070.35,Mobile,1,4,0
TXN1072,2026-05-11T04:09:41.169898,4012888888881881,Shelton Ltd,Leestad,102.76,ATM,0,2,0
TXN1073,2026-04-11T17:45:41.170107,4111111111111111,Herman Inc,Port Bryan,1306.36,Mobile,1,0,0
TXN1074,2026-05-12T11:05:41.170274,4242424242424242,"Jones, Johnson and Cooper",Chadport,1221.17,Desktop,1,5,1
TXN1075,2026-03-21T02:12:41.170624,4012888888881881,Horn PLC,Kristytown,2687.86,Mobile,1,1,0
TXN1076,2026-04-09T01:24:41.170790,378282246310005,"Owens, White and Jones",Karenfort,3436.21,ATM,0,0,1
TXN1077,2026-05-14T15:15:41.171148,4242424242424242,"Woodward, Ramos and Jackson",Madisonberg,3872.3,Mobile,0,4,0
TXN1078,2026-03-25T13:02:41.171474,4242424242424242,Kemp-Knight,Erinberg,593.27,ATM,0,2,0
TXN1079,2026-04-02T02:07:41.171728,5555555555554444,Chandler-Martin,North Jenniferberg,1213.69,ATM,0,1,0
TXN1080,2026-05-16T11:29:41.171970,4012888888881881,Tucker Ltd,North Katherine,3236.22,Desktop,1,2,0
TXN1081,2026-05-14T12:08:41.172177,5555555555554444,Estrada Inc,South Leonardhaven,2994.14,Mobile,0,4,0
TXN1082,2026-04-11T08:59:41.172355,4111111111111111,Oneill LLC,Huntermouth,3193.97,Desktop,1,4,0
TXN1083,2026-03-13T16:26:41.172549,4111111111111111,Lopez-Wilson,Sheltontown,1329.25,POS,0,2,0
TXN1084,2026-04-28T10:53:41.172831,4012888888881881,Sloan LLC,Lake Davidtown,3417.08,Mobile,0,1,0
TXN1085,2026-04-30T00:13:41.173006,4012888888881881,Fisher-Garza,South Diamond,901.18,POS,0,3,0
TXN1086,2026-04-23T22:14:41.173326,4012888888881881,Benitez and Sons,New Ryan,3035.96,ATM,1,1,0
TXN1087,2026-05-05T23:56:41.173515,5555555555554444,Huang-Campos,Colonport,159.12,Desktop,1,5,0
TXN1088,2026-05-13T09:51:41.173782,5555555555554444,Smith-Davis,Lake Neilport,4935.95,ATM,0,1,0
TXN1089,2026-04-10T06:44:41.174024,5555555555554444,Wyatt-Winters,Lake Davidhaven,2879.65,Mobile,0,5,0
TXN1090,2026-03-19T21:55:41.174306,4242424242424242,White Group,Zacharybury,2256.86,Desktop,1,4,0
TXN1091,2026-04-24T07:45:41.174516,5555555555554444,"French, Wagner and Hays",West Jamesborough,4420.36,Desktop,0,3,0
TXN1092,2026-03-25T21:23:41.174847,378282246310005,Roberts-Matthews,South Johnland,4665.67,ATM,1,0,0
TXN1093,2026-05-16T18:59:41.175093,4012888888881881,Contreras-Kane,Port Tammiemouth,3224.71,POS,0,0,0
TXN1094,2026-04-29T04:14:41.175363,378282246310005,"Smith, Campbell and Benjamin",Lyonsville,4383.05,Desktop,1,1,0
TXN1095,2026-04-19T21:30:41.175753,5555555555554444,Sanchez-Cochran,Kylehaven,4963.0,ATM,1,1,0
TXN1096,2026-04-25T07:00:41.176012,378282246310005,White Inc,West Kerrifurt,4586.16,ATM,1,4,0
TXN1097,2026-04-07T21:00:41.176185,4242424242424242,Garcia LLC,North Josephborough,2025.24,POS,1,1,1
TXN1098,2026-04-04T11:46:41.176423,5555555555554444,Green LLC,Port Aliciachester,2612.88,ATM,0,4,0
TXN1099,2026-03-13T09:00:41.176623,4242424242424242,"Ramos, Johnson and Harrison",New Stephen,3353.25,ATM,1,2,0
